Rank,Direction,Card Name,Set,Current Price USD,Prior Price USD,Change USD,Change Percent,Market Signal
1,Up,Sonic Screwdriver (0186),Universes Beyond: Doctor Who,2.63,1.03,1.60,155.3%,MTGStocks since-yesterday mover
2,Up,Brushland,Classic Sixth Edition,9.04,5.42,3.62,66.8%,MTGStocks since-yesterday mover
3,Up,Xorn (2495),Secret Lair Series,15.50,11.00,4.50,40.9%,MTGStocks since-yesterday mover
4,Up,Howling Mine (7046),Secret Lair Series,13.48,9.99,3.49,34.9%,MTGStocks since-yesterday mover
5,Up,Wellwisher,Commander Anthology,4.97,3.77,1.20,31.8%,MTGStocks since-yesterday mover
6,Up,Winter Orb,Fifth Edition,15.49,11.99,3.50,29.2%,MTGStocks since-yesterday mover
7,Up,Wyluli Wolf (Light),Arabian Nights,16.99,13.50,3.49,25.9%,MTGStocks since-yesterday mover
8,Up,Jackal Pup,Tempest,8.40,6.89,1.51,21.9%,MTGStocks since-yesterday mover
9,Up,"Ob Nixilis, Captive Kingpin (Extended Art)",March of the Machine: The Aftermath,50.28,41.57,8.71,21.0%,MTGStocks since-yesterday mover
10,Up,Urza's Tower (Shore),Antiquities,38.72,32.04,6.68,20.9%,MTGStocks since-yesterday mover
11,Up,Grave Pact,Stronghold,47.56,39.99,7.57,18.9%,MTGStocks since-yesterday mover
12,Up,Animate Dead,Secret Lair Series,69.99,58.99,11.00,18.7%,MTGStocks since-yesterday mover
13,Up,Wooded Foothills,Onslaught,149.99,126.49,23.50,18.6%,MTGStocks since-yesterday mover
14,Up,"Jaws, Relentless Predator",Secret Lair Series,157.49,133.33,24.16,18.1%,MTGStocks since-yesterday mover
15,Up,Ali Baba,Arabian Nights,20.92,17.75,3.17,17.9%,MTGStocks since-yesterday mover
16,Up,Chrome Mox (Borderless),Double Masters,254.99,217.10,37.89,17.5%,MTGStocks since-yesterday mover
17,Up,Pyretic Ritual,Secret Lair Series,74.98,64.49,10.49,16.3%,MTGStocks since-yesterday mover
18,Up,Reverberation,Legends,29.99,26.30,3.69,14.0%,MTGStocks since-yesterday mover
19,Up,Sneak Attack (Showcase),Double Masters,25.34,22.34,3.00,13.4%,MTGStocks since-yesterday mover
20,Up,Abu Ja'far,Arabian Nights,30.37,26.89,3.48,12.9%,MTGStocks since-yesterday mover
21,Up,Teferi's Protection (JP Alternate Art),Strixhaven: Mystical Archives,101.96,90.33,11.63,12.9%,MTGStocks since-yesterday mover
22,Up,Food Chain,Secret Lair Series,64.99,57.64,7.35,12.8%,MTGStocks since-yesterday mover
23,Up,Show and Tell,Urza's Saga,62.00,54.99,7.01,12.8%,MTGStocks since-yesterday mover
24,Up,Palantir of Orthanc (Borderless Poster),The Lord of the Rings: Tales of Middle-earth,81.11,71.98,9.13,12.7%,MTGStocks since-yesterday mover
25,Up,Colossus of Sardia,Antiquities,34.18,30.42,3.76,12.4%,MTGStocks since-yesterday mover
26,Up,Aladdin's Ring,Arabian Nights,71.86,63.96,7.90,12.4%,MTGStocks since-yesterday mover
27,Up,Teferi's Puzzle Box,Visions,18.77,16.91,1.86,11.0%,MTGStocks since-yesterday mover
28,Up,"Deadpool, Trading Card",Secret Lair Series,23.00,20.74,2.26,10.9%,MTGStocks since-yesterday mover
29,Up,Pact of Negation (Borderless),Commander: The Lord of the Rings: Tales of Middle-earth,67.77,61.23,6.54,10.7%,MTGStocks since-yesterday mover
30,Up,Bio-Quartz Spacegodzilla,Ikoria: Lair of Behemoths,27.84,25.16,2.68,10.7%,MTGStocks since-yesterday mover
31,Up,Questing Druid,Secret Lair Showdown,115.00,103.98,11.02,10.6%,MTGStocks since-yesterday mover
32,Up,Phyrexian Dreadnought,Mirage,329.99,300.00,29.99,10.0%,MTGStocks since-yesterday mover
33,Up,Goblin Lackey,Secret Lair Series,24.15,22.00,2.15,9.8%,MTGStocks since-yesterday mover
